,Level,Page,Question,Comment,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
1,P6,1,"1. “They d 0e happy to be given a day off to go shopping, _________ ?the manager asked. -",MCQ,{ 1 ) didn’t they,(2) hadn't they,(3) couldn't they,(4) wouldn’t they,ENGLISH,2019,nan_hua_exam_papers,SA2,1,No,
2,P6,1,2. All the garbage from the various households _________}) cleared bythe rubbish truck earlier.,MCQ,(1) is,(2) are,(3) was,(4) were,ENGLISH,2019,nan_hua_exam_papers,SA2,2,No,
3,P6,1,3. All the boys from Primary Six except James _________ to playsoccer during recess every day.,MCQ,(1) like,(2) likes,(3) liked,(4) liking,ENGLISH,2019,nan_hua_exam_papers,SA2,3,No,
4,P6,1,"4, Whether the customers buy goods from that shop _________ on thesalesmen’s service.",MCQ,(1) depend,(2) depends,(3) depended,(4) depending,ENGLISH,2019,nan_hua_exam_papers,SA2,4,No,
5,P6,1,5. The students have been told what to do _________ a fire break out- within the school premise.,MCQ,"(1) will

","(2) shall
","(3) would
",(4) should,ENGLISH,2019,nan_hua_exam_papers,SA2,5,No,
6,P6,2,6. The reading level of this book is appropriate _________ youngreaders.,MCQ,(1) in,(2) by,(3) on,(4) for,ENGLISH,2019,nan_hua_exam_papers,SA2,6,No,
7,P6,2,"f. _________ his earnings as a football coach, he also owns a chain ofsports shops.",MCQ,(1) Due.to,(2) Instead of,(3) Except for,(4) Apart from,ENGLISH,2019,nan_hua_exam_papers,SA2,7,No,
8,P6,2,"8. Ynere was so _________ traffic on the road this morning that weOe
‘were an hour late for the meeting.",MCQ,(1) few,(2) litte,(3) much,(4) many,ENGLISH,2019,nan_hua_exam_papers,SA2,8,No,
9,P6,2,9. Karen saw ner mother _________ in her direction and ran to herhappily.,MCQ,(1) walks,(2) walked,(3) walking,(4) was walking,ENGLISH,2019,nan_hua_exam_papers,SA2,9,No,
10,P6,2,"10. “You (EM Pr on your project for the last one hour. You may want
to take a break,” Mrs Lim told her son. _-",MCQ,"(1) were working

","(2) will be working

","(3) had been working
",(4) have been working,ENGLISH,2019,nan_hua_exam_papers,SA2,10,No,
11,P6,3,11. The fireman's _________ wit at the moment of crisis enabled him tosave the boy’s life.,MCQ,(1) swift,(2) rapid,(4) speedy,-,ENGLISH,2019,nan_hua_exam_papers,SA2,11,No,
