,Level,Page,Question,question_type,A,B,C,D,Answer,Subject,Year,School,Exam,Number,Image,Image File
1,,1," John in addition to the two monitors, _________ the books from the staff roorn io theclassroom every morning.",MCQ, carry, carries, carrying, have carried,-,,,,,1,No,-
2,,1," When, the results of the competition were announced, neither the winner nor his parents
AALRINY
_________ atthe hall.a",MCQ, is, are, was, were,-,,,,,2,No,-
3,,1, [ne nandicratt did not iurn out well as the girl did not put in ____________ effort to glue theparts together.,MCQ, many, much, little, few,-,,,,,3,No,-
4,,1, My grandmother managed to prepare a nutritions meal for us ___________having only a fewin the refrigeraior.,MCQ, despite, besides, because of, resulting from,-,,,,,4,No,-
5,,1,"o With trepidation, Sarah watched the running boy ___________ the pail, spilling water all overthe floor.",MCQ," knock

"," knocks

"," Knocked

", was knocking,-,,,,,5,No,-
6,,2," ""You've put the carton of milk in ihe refrigerator, __________?* Mrs Lim asked her daughter.",MCQ, isn't it, didn'twe, hadn't you, haven't you,-,,,,,6,No,-
7,,2," ""| have never __________ such an interesting flower before,” exclaimed the old lady as she
fooked closely at it.",MCQ, see, saw, seen, been seeing,-,,,,,7,No,-
8,,2," If She __________ tore waier throughout the day, she would not have been dehydrated.",MCQ, drunk, drinks, has drunk, had drunk,-,,,,,8,No,-
9,,2," All of the luagage __________io the collection point except the one that belonged to the elderly
bespectacled man.",MCQ, is delivering, was delivered," has been delivering
", nave been delivered,-,,,,,9,No,-
10,,2," in order to be heaithier, Mrs Chandra eliminated salty food and sugary drinks _________. he
diet.",MCQ," off
"," out
"," from
", away,-,,,,,10,No,-
11,,3,"V The teacher praised |om for being a ___________ pupil as he always checks his work carefully. ‘bet . ae oa
and submits his assignments on time.",MCQ, conscious, respeciful, productive, conscientious,-,,,,,11,No,-
12,,3, Jne gangsters ___________ihe homeless man by raining repeated blows on his head,MCQ, assailed, criticised, surrounded, approached,-,,,,,12,No,-
13,,3, The teacher encouraged her pupils to read_________ by snaring with them books on a widevariety of topics.,MCQ, extensively," bountifully,", studiously, _ plentifully,-,,,,,13,No,-
14,,3, the shop assistants were releved wnen the anary customer _________ ater theyapologised for their mistake.,MCQ, backed up, backed into, backed away, backed down,-,,,,,14,No,-
