,Level,Page,Question,Comment,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
37,P6,17,-,Structured Qn,-,-,-,-,,2014,tamil_1,SA1,37,No,-
38,P6,17,-,Structured Qn,-,-,-,-,,2014,tamil_1,SA1,38,No,-
39,P6,17,-,Structured Qn,-,-,-,-,,2014,tamil_1,SA1,39,No,-
40,P6,17,-,Structured Qn,-,-,-,-,,2014,tamil_1,SA1,40,No,-
41,P6,17,-,Structured Qn,-,-,-,-,,2014,tamil_1,SA1,41,No,-
42,P6,17,-,Structured Qn,-,-,-,-,,2014,tamil_1,SA1,42,No,-
43,P6,17,-,Structured Qn,-,-,-,-,,2014,tamil_1,SA1,43,No,-
44,P6,17," SABBTLige: arhadileo wrenaae HeoLwigs) TOUSTMY, Qs,BUIASET Cunrsrm PIGS GH pHwsren wiransrecit ouyGoueior(BidI NNO
ATHUGTAND, WHMATAOUL UTFLUOGZAOTOY AUGSCGH EGS Qarexr_ mito
oe _ . . rT ff ef  #«EE - BS _—
THUSTOND SIGHT G weed wirensrenwd set Apiary.oe en Pe  Te = Yk one, ee",Structured Qn,-,-,-,-,,2014,tamil_1,SA1,44,No,-
45,P6,17,", Wiener FLL WMSSA. MSNFHUR HVPAGOISMATET omEvewnov. DiHoolAHAY Ceouasmys Foor gibD dsneanw  wih) udp sAwesrGwireneriuirsencaruth SAT AAD Ome ALAdme. QeiemgAST Fotow wrHwg.oe ~~ wm DY ee oe re te ont",Structured Qn,-,-,-,-,,2014,tamil_1,SA1,45,No,-
46,P6,17,", UT eer GISTVOLILIGHAMSS STM WSS HTHMTS UBS dh bSSMvS AFOUTASdpd Pung alarm Ase armed sméleumeelvtuccer, griutéé spd Lenser surg Pencouiespyss MUSSINA AG. Quy wirenatenud Clameve Cousin(hidTHO PH YSESL Decreory Qetinutiu surest.oo . . mt et Oo™—”—e—m— eee Od ont",Structured Qn,-,-,-,-,,2014,tamil_1,SA1,46,No,-
47,P6,17," albsan urmanitp Gn@md ) suns olamrorpieui tireASVG Bent GurgiCuDs Cousin IHS HI GTO agonalau sausi_t QLILI SID Geiss Garang.a . a Tr Wa .. fr...  2° tr. ""7, ee lpm ore etl",Structured Qn,-,-,-,-,,2014,tamil_1,SA1,47,No,-
48,P6,17," buss wrneniliwo Car Gukaclararcl. AGW OiHhaovCuogpoures Op@na,  Chosdarg SL AS QanGsgi ASATAugen oa_esileuuy.A. quing Adellm acmourgGaaiio HMM OUT sTOTMND, SAsulyajoreoriGesnanl ubALieo SHU puresoner orapgAltl YsPUCLDaIy
cap CEbgH ClerewtGoar.",Structured Qn,-,-,-,-,,2014,tamil_1,SA1,48,No,-
