,Level,Page,Question,Comment,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
1,P6,1,"-1. Mary placed four slices of the same type of bread in four set-ups at room
temperature. In which set-up would fungus first appear on the slice of bread?",-,(4)- ,"(2) nan
substance that ,
absorbs moisture oo. .
“poo: /  asiica of water a slice of
= CF : bread a CF bread",-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,1,Yes,TempImages/2020-06-17 15-24-26_608576_44.jpg;TempImages/2020-06-17 15-24-26_608576_43.jpg;TempImages/2020-06-17 15-24-26_608576_46.jpg;TempImages/2020-06-17 15-24-26_608576_47.jpg;TempImages/2020-06-17 15-24-26_608576_45.jpg;TempImages/2020-06-17 15-24-26_608576_50.jpg;TempImages/2020-06-17 15-24-26_608576_49.jpg;TempImages/2020-06-17 15-24-26_608576_48.jpg
2,P6,4,-,-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,2,Yes,TempImages/2020-06-17 15-24-26_608576_54.jpg;TempImages/2020-06-17 15-24-26_608576_53.jpg
3,P6,4,-,-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,3,Yes,TempImages/2020-06-17 15-24-26_608576_52.jpg
4,P6,4,Male reproductive cells are-produced in the male reproductive parts.,-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,4,No,-
5,P6,4,"B The tertiised egg. develops in the ovary.Fertiisation occurs in the ovary.Which of the following is correct?4. Haoming sete up an experiment as shown below ‘te-find out. if the- absence. of
reols affects the amount of water. abserbed",-,"(2) A AB,
”() ans ee ee BC
wy ~ “AG”, AB",-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,5,Yes,-;TempImages/2020-06-17 15-24-26_608576_51.jpg
6,P6,5,"-Which. of the following should Haoming use as the control set-up for his
experiment?5. The diagram below shows .the-movement of blood in pathways, A, B, C and. D,-of
the human circulatory-system:Which of the following correctly shows the pathways where biood Is rich in oxygen
or carbon dioxide?6, Cells X shown below has been.taken from 4 plant.",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,6,Yes,TempImages/2020-06-17 15-24-26_608576_57.jpg;TempImages/2020-06-17 15-24-26_608576_56.jpg;TempImages/2020-06-17 15-24-26_608576_55.jpg;TempImages/2020-06-17 15-24-26_608576_59.jpg;TempImages/2020-06-17 15-24-26_608576_58.jpg
7,P6,7,-Which of the following is true about cell X?,-,"(1) Part A gives ceil X its regular shape.

","(2).Part‘C contains genetic information for cell X.

","(3) Pait D controls all the activities that take place in cell X.
",(4).Part 8 controls the substances entering and leaving cell X.,SCIENCE,2018,tao_nan_exam_papers,SA2,7,Yes,TempImages/2020-06-17 15-24-26_608576_60.jpg
8,P6,7,"> brown fur os
Fos, a i Han __ brown winter coat
Xe oan \ Ligh ~~ made using fur
Vim ' ee | ‘MLS, from Animal Q
yoo se eat 1 iD.
"" woe Ne
AnimalQ- ~",-,"(1) The fur helps the wearer to blend in with.white wails.

-","(2) The fur is dark coloured so it gains Jess, heat from the sun.

","(3) The fur traps air so the wearer will lose fess heat fo the surroundings -
",(4) The fur helps the wearer gain more heat from the cold air to keep warm.,SCIENCE,2018,tao_nan_exam_papers,SA2,8,No,-
9,P6,8,"8. The mep below shows the location of some animal farms.along a river. The animal
waste from the farms flowed into the river.",-,"(1) fish

","(2) bacteria

","(3) nutrients —
",(4) carbon dioxide,SCIENCE,2018,tao_nan_exam_papers,SA2,9,Yes,-;TempImages/2020-06-17 15-24-26_608576_62.jpg;TempImages/2020-06-17 15-24-26_608576_61.jpg
10,P6,9,"-the amount of undigested food at the five parts was plotted in the graph shown
below.Which line in the graph beiow represents the amount of undigested food in the
five parts, A, B, C, D and E?",-,"(8)
: i t en
i z : i . ","(4)
, ee Ee ee a ee >",-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,10,Yes,TempImages/2020-06-17 15-24-26_608576_65.jpg;TempImages/2020-06-17 15-24-26_608576_64.jpg;TempImages/2020-06-17 15-24-26_608576_63.jpg
11,P6,10,"11. -Study the food web below.Organism X, which only feeds on U, was introduced into the habitat...-Which of the following graphs. shows how the. populations of R and U are most
likely to be affected?(<) Number of",-,(1); Number of,"(3) Number of
owentame ","(4) Numberor
organisms.
a veo U [
| ree —
we ere RR _
mee y",-,SCIENCE,2018,tao_nan_exam_papers,SA2,11,Yes,-;TempImages/2020-06-17 15-24-26_608576_69.jpg;TempImages/2020-06-17 15-24-26_608576_68.jpg;TempImages/2020-06-17 15-24-26_608576_67.jpg;TempImages/2020-06-17 15-24-26_608576_66.jpg
12,P6,11,"12. The diagram shows plant M which.can only. grow on tree Dranches. Bird P feeds
on the fruits of plant M which have sticky seeds. When bird P files away, it rubs
its beak with the.sticky seeds against the branch of another free. ,
ye TGs Ey: es -
: oy es EEE a awe ie
eas RO a re plant M with leaves and fruits
‘ NOTRE rene ""I P
Yas
pecan
on . . C",-,"(1) Fruit of piant M are dispersed by wind

","(2) Plant M grows on tree branches so that it can avoid birds

","(3) Plant M gets its food and water from the branches of the tree;

",(4) Bird P helps to disperse the seeds of plant M from one tree to another tree.,SCIENCE,2018,tao_nan_exam_papers,SA2,12,No,-
13,P6,11,"-Which of the following is/are the possibie-aim(s) of his experiment when he
planted the grape plants on the two plots of land?A ‘To find out if water is needed for the plant growth.
B To find out how the amount of water helps in plant growth.
C To find out if the soi in- plot X has more nutrients than the soil in plot Y.",-,(1) B only ,"(2) Band C only
","(3) AandC only (4yA, Bandc",-,SCIENCE,2018,tao_nan_exam_papers,SA2,13,Yes,TempImages/2020-06-17 15-24-26_608576_70.jpg;TempImages/2020-06-17 15-24-26_608576_71.jpg
14,P6,13,"14. Rui En fied three identical containers with. an equal amount.of water taken from
a river, All the containers were placed in a well-lit room filled with different number
of similar type of fish and water plants.The water in all the containers have the same amount of oxygen at the start of
the experiment. After 5 hours, she recorded the amount of dissolved oxygen in
the water in container Y._ Which of the following would be the correct amount of dissolved oxygen in the
water in containers X and 7 after.5 hours?",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,14,Yes,-;TempImages/2020-06-17 15-24-26_608576_74.jpg;TempImages/2020-06-17 15-24-26_608576_73.jpg;TempImages/2020-06-17 15-24-26_608576_72.jpg
15,P6,14,"15. A solid metal cuba oF SU cm? was put into a measuring cylinder containing
450 cm? of water. The water level rose as shown. :What can we conciude from the above experiment?",-,"(1) A solid has a definite volume and a definite shape.
","(2) Asolid has a-definite volume but no definite shape.

","(3) A solid has no definite volume and no definite shape.
",(4). Asolid has no definite volume but has a definite shape.,SCIENCE,2018,tao_nan_exam_papers,SA2,15,Yes,-;TempImages/2020-06-17 15-24-26_608576_76.jpg;TempImages/2020-06-17 15-24-26_608576_75.jpg
16,P6,14,16. Which of the following sequires:only a:pulling-force?,-,{1) inflating a balloon - ,(2) knocking on a coor,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,16,No,-
17,P6,15,"17, ‘he diagram below shows a pendulum swinging from position A to position B
to position C and then back to position B._ Which of the following shows the change in the amount of potential energy and
kinetic energy in the pendulum? : .",-,"(2): Decrease | _. Increase
","(3) Increase | Increase
(ay 7 Increase | 1 Decrease 1",-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,17,Yes,-;TempImages/2020-06-17 15-24-26_608576_78.jpg;TempImages/2020-06-17 15-24-26_608576_77.jpg
18,P6,15,"13. Peter wants to make a swimming board.Kea 7
Gir Se a ie.. swimming board
SAS ANS Seepsat oo"". tes
ae ae een
Toa gern Sears
IE ie, ERS .
. RET iWhich of the following is themost important property of the material to make the
swimming board?",-,"(1) strong

","(2) flexible

","(3) transparent

",(4) cannot sink in water,SCIENCE,2018,tao_nan_exam_papers,SA2,18,No,-
19,P6,16,"-Which of the following is irue7Ql) Xand Z are solids at 10°C.

: 2) Yand Z are liquids at 20°C.
",-,"(3) Y and Z are liquids at 80°C.
",{4) Xand Y are gases at 100°C.,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,19,Yes,TempImages/2020-06-17 15-24-26_608576_81.jpg
20,P6,16,"20. Substance X. was heated for a period of time. The graph below shows the
temperature change of substance X over time during the heating process.",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,20,Yes,-;TempImages/2020-06-17 15-24-26_608576_80.jpg;TempImages/2020-06-17 15-24-26_608576_79.jpg
21,P6,17,"21. Two identical bulbs, Buib A.and-Bulb 6, are.connected.in.a circuit as shown.
below. Both buibs light up with equal brightness when the switch is closed.",-,"(4) Bulb C does not light up.

","(2) Bulb C is as bright as Bulb A.
","(3) Bulb Cis dimmer than Bulb B.
",(4). Bulb C is brighter than Bulb A.,SCIENCE,2018,tao_nan_exam_papers,SA2,21,Yes,-;TempImages/2020-06-17 15-24-26_608576_84.jpg;TempImages/2020-06-17 15-24-26_608576_83.jpg;TempImages/2020-06-17 15-24-26_608576_82.jpg
22,P6,18,"22. Fhe circuit dlagram shows two batteries connected -to four bulbs. When one of
the bulbs fuses, tho other-three bulbs still remain lit. Which bulb is this? .",-,"(3)
fC
le OS)
—_ -& 4%
: Oa)",-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,22,Yes,-;TempImages/2020-06-17 15-24-26_608576_89.jpg
23,P6,18,"north pole of
‘small magnetAndy brought 2 magnets near each other. He observed their movements as
shown below.He placed a compass at B and observed the position of its needle which is as
shown below.VVhich of the Tollowing are possibie poles of A and C?",-,(4) 7Nonh™ | “South |,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,23,Yes,-;TempImages/2020-06-17 15-24-26_608576_88.jpg;TempImages/2020-06-17 15-24-26_608576_87.jpg;TempImages/2020-06-17 15-24-26_608576_86.jpg;TempImages/2020-06-17 15-24-26_608576_85.jpg
