,Level,Page,Question,Comment,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
1,P6,1,"1 John in addition to the two monitors, _________ the books from the staff roorn io theclassroom every morning.",MCQ,(1) carry,(2) carries,(3) carrying,(4) have carried,ENGLISH,2019,chij_2pages,CA1,1,No,-
2,P6,1,"2 When, the results of the competition were announced, neither the winner nor his parents
AALRINY
_________ atthe hall.a",MCQ,(1) is,(2) are,(8) was,(4) were,ENGLISH,2019,chij_2pages,CA1,2,No,-
3,P6,1,3 [ne nandicratt did not iurn out well as the girl did not put in ____________ effort to glue theparts together.,MCQ,(1) many,(2) much,(3) little,(A) few,ENGLISH,2019,chij_2pages,CA1,3,No,-
4,P6,1,4 My grandmother managed to prepare a nutritions meal for us ___________having only a fewin the refrigeraior.,MCQ,(1) despite,(2) besides,(3) because of,(4) resulting from,ENGLISH,2019,chij_2pages,CA1,4,No,-
5,P6,1,"o With trepidation, Sarah watched the running boy ___________ the pail, spilling water all overthe floor.",MCQ,"(1) knock

","(2) knocks

","(3) Knocked

",(A) was knocking,ENGLISH,2019,chij_2pages,CA1,5,No,-
6,P6,2,"6 ""You've put the carton of milk in ihe refrigerator, __________?* Mrs Lim asked her daughter.",MCQ,(1) isn't it,(2) didn'twe,(3) hadn't you,(4) haven't you,ENGLISH,2019,chij_2pages,CA1,6,No,-
7,P6,2,"7 ""| have never __________ such an interesting flower before,” exclaimed the old lady as she
fooked closely at it.",MCQ,(1) see,(2) saw,(3) seen,(4) been seeing,ENGLISH,2019,chij_2pages,CA1,7,No,-
8,P6,2,"8 If She __________ tore waier throughout the day, she would not have been dehydrated.",MCQ,(1) drunk,(2) drinks,(3) has drunk,(4) had drunk,ENGLISH,2019,chij_2pages,CA1,8,No,-
9,P6,2,"9 All of the luagage __________io the collection point except the one that belonged to the elderly
bespectacled man.",MCQ,(1) is delivering,(2) was delivered,"(3) has been delivering
",(4) nave been delivered,ENGLISH,2019,chij_2pages,CA1,9,No,-
10,P6,2,"VU In order io be heaithier, Mrs Chandra eliminated salty food and sugary drinks _________. he
diet.(off",MCQ,(2) oui,(3) from,(4) away,-,ENGLISH,2019,chij_2pages,CA1,10,No,-
