,Level,Page,Question,Comment,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
1,P6,1,"1. Had f known you were il, y would not _________ you.",MCQ, disturb, disturbed, had disturbed, have disturbed,ENGLISH,2019,catholic_high_4pgs,SA1,1,No,-
2,P6,1,"2. ""She'd be upset about her poor results, ____________?” asked Munah,-(((",MCQ, could she, would she, couldn't she, wouldn’t she,ENGLISH,2019,catholic_high_4pgs,SA1,2,No,-
3,P6,1,3. My best friend made me _________ for him so that we could have lunch together.1) wait,MCQ,(2 ) waits,(3) waited,(4) waiting,-,ENGLISH,2019,catholic_high_4pgs,SA1,3,No,-
4,P6,1,"4A. The twins, accompanied by their father, _________ travelling to Vietnam thisweekend.",MCQ, 1s, are, was, were,ENGLISH,2019,catholic_high_4pgs,SA1,4,No,-
5,P6,1,"5, “_________ it rain later, the match will be postponed,” the coach reminded the
onorartnarON
soccer team.",MCQ,"(4) Will
", Shall, Would, Should,ENGLISH,2019,catholic_high_4pgs,SA1,5,No,-
6,P6,2,"6. The stranger, {EMPTY) was talking to Simon, desperately needed to find hislost cat.",MCQ, who, which, whom, whose,ENGLISH,2019,catholic_high_4pgs,SA1,6,No,-
7,P6,2,7. The pupils will not be able to hear you clearly _________ you project your voice.,MCQ,(4), unless,( 3) despite, int order that,ENGLISH,2019,catholic_high_4pgs,SA1,7,No,-
8,P6,2,8. Sherin realised that someone had _________ the doorbell thrice.,MCQ, ring, rang, rung, rings,ENGLISH,2019,catholic_high_4pgs,SA1,8,No,-
9,P6,2,a After being lost in the forest for Gays. Michael was deprived ___________sleen.,MCQ,"(7)
} of", on, off,( 4) over,ENGLISH,2019,catholic_high_4pgs,SA1,9,No,-
10,P6,2,"10. TO our surprise, we were able to find the secluded village without __________
difficulty. ——",MCQ," few
", little," sore
(43 much",-,ENGLISH,2019,catholic_high_4pgs,SA1,10,No,-
11,P6,3,ii. The number of Siberian tigers in the world has _________ due to poaching.i =,MCQ, drained, depleted, dwindled, depreciated,ENGLISH,2019,catholic_high_4pgs,SA1,11,No,-
12,P6,3,"12. When the captain realised that his efforts to steer his ship to safety were
fokimmsyt bao ARR eee ese ended bt ere. a ie cep ._________ he commanded his officers to release the lifeboats.",MCQ, vain, futile -, superficial, inappropriate,ENGLISH,2019,catholic_high_4pgs,SA1,12,No,-
13,P6,3,13. The smooth tangy sauce _________ the succulent beef steak that was served aitRudy Bee Restaurant. /,MCQ, boosted, accompanied, complimented, complemented,ENGLISH,2019,catholic_high_4pgs,SA1,13,No,-
14,P6,3,"TA, | had to take a detour on my way home as many roads were _________ for the
Nati ansal Maen, DarecdnNational Day Parade.",MCQ, closed up, closed off, closed out, closed down -,ENGLISH,2019,catholic_high_4pgs,SA1,14,No,-
